Time,Rsen1,Rsen2,Rref1,Rref2,Vsen1,Vsens1,Vref1,Vref2,T,H,Ttop,Tbot,Sampling Period
10.318705320358276,154.9471,133.2077,168.2489,143.9311,112.2572,96.97,121.5392,104.529,19.16,-1397.833618,18.27,19.76,10.318705320358276
20.524877548217773,154.9466,133.2294,168.2376,143.9552,112.2568,96.9854,121.5314,104.5459,19.14,10.199992,19.76,19.47,10.206172227859497
30.52253746986389,154.9516,133.2216,168.2665,143.9529,112.2603,96.9799,121.5514,104.5444,19.13,9.999993,18.88,18.88,9.997659921646118
40.52283334732056,154.9477,133.2422,168.2795,143.9753,112.2576,96.9944,121.5605,104.5601,19.14,9.999994,18.88,19.18,10.000295877456665
50.525819301605225,154.9679,133.2355,168.2608,143.9686,112.2717,96.9897,121.5475,104.5554,19.15,9.999989,19.47,19.47,10.002985954284668
60.52746057510376,154.9792,133.2527,168.2767,144.024,112.2796,97.0019,121.5585,104.5943,19.15,9.999988,19.18,19.18,10.001641273498535
70.52295064926147,154.9859,133.2433,168.2936,143.9843,112.2843,96.9952,121.5703,104.5664,19.16,9.999992,19.18,18.88,9.995490074157715
80.52378988265991,154.9854,133.27,168.293,144.0145,112.2839,97.0141,121.5699,104.5876,19.13,9.999988,18.27,18.88,10.000839233398438
90.5214512348175,155.0112,133.2605,168.3123,144.0341,112.302,97.0074,121.5833,104.6014,19.13,9.999989,18.88,19.76,9.997661352157593
100.52312445640564,155.0011,133.2717,168.2925,144.0827,112.295,97.0153,121.5695,104.6356,19.13,9.99999,18.88,19.47,10.001673221588135
110.72690200805664,155.0197,133.2878,168.3247,144.057,112.3079,97.0267,121.5919,104.6175,19.14,10.199992,19.47,20.05,10.203777551651001
120.72875165939331,155.0241,133.2867,168.3456,144.0682,112.3111,97.0259,121.6065,104.6254,19.12,9.999992,18.88,20.05,10.00184965133667
130.52843046188354,155.0416,133.2979,168.3445,144.0978,112.3233,97.0338,121.6057,104.6463,19.12,9.79999,19.76,19.47,9.799678802490234
140.7318410873413,155.0326,133.3095,168.3581,144.0945,112.317,97.042,121.6152,104.6439,19.12,10.199993,18.88,19.76,10.203410625457764
150.73166489601135,155.0635,133.3073,168.3632,144.0777,112.3386,97.0404,121.6187,104.6321,19.13,9.999988,18.88,19.47,9.999823808670044
160.72641253471375,155.0556,133.309,168.3846,144.0615,112.3331,97.0416,121.6337,104.6207,19.09,9.999988,19.47,20.05,9.994747638702393
170.72969698905945,155.0804,133.3095,168.3897,144.0469,112.3504,97.042,121.6372,104.6105,19.13,9.999986,19.18,20.05,10.003284454345703
180.72739052772522,155.0843,133.3374,168.4073,144.0559,112.3532,97.0617,121.6494,104.6168,19.1,9.999988,18.88,19.18,9.997693538665771
190.72927474975586,155.0944,133.3346,168.4118,144.0491,112.3603,97.0597,121.6525,104.612,19.11,9.99999,19.18,18.88,10.00188422203064
200.7287995815277,155.0854,133.3268,168.4016,144.038,112.354,97.0542,121.6455,104.6042,19.12,9.999987,20.33,19.76,9.99952483177185
210.72642922401428,155.1146,133.3569,168.409,144.0066,112.3744,97.0754,121.6506,104.5821,19.09,9.999991,18.88,19.47,9.997629642486572
220.72304153442383,155.1276,133.3585,168.4474,144.0134,112.3835,97.0766,121.6773,104.5869,19.09,9.999991,19.76,19.76,9.996612310409546
230.7207019329071,155.1073,133.3669,168.4276,144.0117,112.3693,97.0825,121.6636,104.5857,19.1,9.999991,19.47,19.76,9.997660398483276
240.7233464717865,155.1248,133.3658,168.4361,144.01,112.3815,97.0817,121.6694,104.5845,19.07,9.999989,18.88,20.61,10.002644538879395
250.72847056388855,155.1248,133.3697,168.4474,144.0156,112.3815,97.0845,121.6773,104.5884,19.1,9.999991,19.47,19.76,10.00512409210205
260.73133635520935,155.1326,133.3736,168.4525,144.0508,112.387,97.0872,121.6809,104.6132,19.09,9.999996,20.05,20.61,10.0028657913208
270.72899651527405,155.1371,133.3936,168.4576,144.0078,112.3902,97.1014,121.6844,104.5829,19.08,9.999991,19.18,20.05,9.997660160064697
280.7298791408539,155.1529,133.4137,168.5051,144.0268,112.4012,97.1156,121.7174,104.5963,19.08,9.999998,20.05,20.61,10.000882625579834
290.73065161705017,155.1591,133.4109,168.487,144.0139,112.4055,97.1136,121.7049,104.5872,19.07,9.999996,19.18,20.33,10.000772476196289
300.73129630088806,155.1697,133.4203,168.5056,144.0436,112.413,97.1203,121.7178,104.6081,19.07,9.999993,19.76,20.61,10.00064468383789
310.73069047927856,155.1782,133.4331,168.526,144.0553,112.4189,97.1293,121.732,104.6164,19.09,9.999992,19.47,20.61,9.999394178390503
320.7286717891693,155.1844,133.4259,168.5305,144.0436,112.4232,97.1242,121.7351,104.6081,19.09,9.999992,20.33,21.44,9.997981309890747
330.93227910995483,155.2068,133.432,168.53,143.9954,112.4389,97.1286,121.7348,104.5743,19.08,10.199992,19.76,20.05,10.203607320785522
340.7319073677063,155.2175,133.4437,168.5413,144.0575,112.4464,97.1368,121.7426,104.6179,19.07,9.799988,20.05,20.05,9.799628257751465
350.9323482513428,155.2142,133.4515,168.5503,144.0693,112.444,97.1423,121.7489,104.6262,19.1,10.199994,19.47,20.33,10.200440883636475
360.93321084976196,155.2276,133.4799,168.5616,144.0587,112.4535,97.1624,121.7568,104.6187,19.07,9.999988,20.61,20.61,10.00086259841919
