,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Time,R0,R1,R2,R3,V0,V1,V2,V3,Temperature,Sample Time,Cap,Motor Position,Calculated Strain,Corrected R b,Corrected R a,Delta,R,angle,strain_aprox,Passive Corrected R,Passive Corrected R b
0,0,0,0,14.293463706970215,668.1442,1030.4631,962.3038,193686.3438,1371.0685,1725.7507,1669.3456,3284.0618,24.87,0.199988,64.0,3884.0,3.3400066733396893e-07,1650.0071676478574,1649.6833592814712,0.0,inf,0.0,0.0,0.0,0.0
1,1,1,1,14.473435878753662,668.1383,1030.4646,962.3162,193805.6719,1371.0614,1725.7520000000006,1669.3562,3284.0715,24.86,0.199985,64.0,3905.0,5.244797817541385e-06,1649.9721107435787,1649.693313220817,21.0,203.72024859523808,0.0009081080925064264,9.851745630846016e-06,0.004115252098813471,166.30067452648655
2,2,2,2,14.674744606018065,668.1291,1030.4779,962.2982,193748.9844,1371.0504,1725.7626,1669.3408,3284.0669,24.87,0.199986,64.0,3958.0,1.7638714434731528e-05,1649.9991463193835,1649.7283362349908,74.0,57.812537,0.0031999993173335954,3.5021253826507815e-05,0.021493272320640244,41.42717924620956
3,3,3,3,14.88463044166565,668.1425,1030.4768,962.3112,193731.0781,1371.0665,1725.7617,1669.3519,3284.0654,24.82,0.199986,64.0,4020.0,3.2137258402010564e-05,1649.991666580795,1649.7098331324328,136.0,31.456869470588234,0.00588107684338604,6.502033827295142e-05,0.014453547214884566,72.76632028212771
4,4,4,4,15.074537992477415,668.1406,1030.4714,962.2891,193710.2031,1371.0642,1725.7574,1669.333,3284.0637,24.85,0.199986,64.0,4083.0,4.686964985263282e-05,1650.0148864177454,1649.7025717121494,199.0,21.498215077889448,0.008605392129273413,9.611680516421952e-05,0.009895747043287884,-31.825929478742182
5,5,5,5,15.284427165985107,668.135,1030.4724,962.2988,193731.0781,1371.0575,1725.7582,1669.3413,3284.0654,24.85,0.199986,64.0,4140.0,6.01989564031958e-05,1650.0022973059808,1649.71126562457,256.0,16.71155378125,0.011070242006412531,0.00012478457096629767,0.013378020221921359,25.79374575568363
6,6,6,6,15.48645544052124,668.1423,1030.4833,962.3024,193802.6875,1371.0662,1725.7668,1669.3444,3284.0713,24.84,0.199986,64.0,4203.0,7.493134785381805e-05,1649.9845525688647,1649.7216444966175,319.0,13.411209656739812,0.013794539907797474,0.0001570589273070567,0.021042199828571032,111.04034481197596
7,7,7,7,15.676350831985474,668.1383,1030.47,962.3,193731.0781,1371.0614,1725.7562,1669.3424,3284.0654,24.85,0.199986,64.0,4265.0,8.94298918210971e-05,1650.0012685201373,1649.7029208416538,381.0,11.228865040682416,0.016475582503970312,0.0001894246957785335,0.009515252098822202,30.339478773996234
8,8,8,8,15.895907878875732,668.135,1030.4728,962.2946,193796.7188,1371.0575,1725.7585,1669.3378,3284.0708,24.85,0.199988,64.0,4323.0,0.00010299304585500329,1649.9924614808785,1649.711977292055,439.0,9.74537895330296,0.018983641255442826,0.00022024448841737417,0.013778020221820952,75.5243801898323
9,9,9,9,16.076154470443726,668.1497,1030.4724,962.3038,193716.1562,1371.0752,1725.7582,1669.3456,3284.0642,24.87,0.199986,64.0,4385.0,0.00011749158982228233,1650.001065174245,1649.6931145530125,501.0,8.539422156686625,0.0216646530194484,0.00025376928240180294,0.0068620531284295785,29.812400000169873
10,10,10,10,16.28602910041809,668.1442,1030.4734,962.3,193671.4531,1371.0685,1725.759,1669.3424,3284.0605,24.87,0.199985,64.0,4443.0,0.00013105474385618853,1650.0134735083484,1649.7016848910555,559.0,7.653454813059032,0.02417267870740672,0.0002856732710612933,0.010300000000142973,-29.285521226003766
11,11,11,11,16.475927829742428,668.1321,1030.494,962.3075,193757.9219,1371.054,1725.7755,1669.3488,3284.0676,24.87,0.199987,64.0,4505.0,0.00014555328782346754,1649.989343765109,1649.7532756612927,621.0,6.889400677133655,0.02685365061624688,0.0003203569746719444,0.03626348311775018,85.59411014104262
12,12,12,12,16.69729781150818,668.1376,1030.4916,962.2991,193802.6875,1371.0607,1725.7736,1669.3417,3284.0713,24.86,0.199986,64.0,4563.0,0.00015911644185737374,1649.9873817259656,1649.74221454881,679.0,6.300965420471281,0.029361634800176707,0.00035334504875646775,0.03142553624616085,98.5395790101029
13,13,13,13,16.887270212173462,668.1318,1030.4901,962.2996,193790.75,1371.0536,1725.7723,1669.342,3284.0703,24.87,0.199987,64.0,4630.0,0.00017478422324136884,1649.9893966793882,1649.7467076300952,746.0,5.73512501072386,0.03225876007967833,0.0003921041516917355,0.03249646203801149,88.49613443482667
14,14,14,14,17.09188461303711,668.133,1030.4877,962.2963,193850.4688,1371.0551,1725.7704,1669.3392,3284.0752,24.85,0.199989,64.0,4683.0,0.0001871781398585589,1649.98000129406,1649.7409560330445,799.0,5.354748686483104,0.034550492071883286,0.0004232595859768843,0.029564546356937168,135.71416863333434
15,15,15,15,17.286484003067017,668.1304,1030.4911,962.2969,193734.0625,1371.052,1725.7732,1669.3397,3284.0657,24.87,0.199985,64.0,4745.0,0.000201676683825838,1650.003315320576,1649.7502154323652,861.0,4.969216795005806,0.037231357204799705,0.0004602607424905367,0.034117030332595284,21.580735142808408
16,16,16,16,17.488147497177124,668.1274,1030.4833,962.294,193632.7031,1371.0485,1725.7668,1669.3373,3284.0574,24.85,0.199987,64.0,4803.0,0.00021523983785974425,1650.0265493165805,1649.7400427281616,919.0,4.655655365070729,0.0397392330626524,0.000495416638156914,0.027646819535561917,-90.76418631896377
17,17,17,17,17.688023090362552,668.1373,1030.4788,962.3052,193820.6094,1371.0602,1725.7633,1669.3468,3284.0728,24.86,0.199987,64.0,4865.0,0.0002297383818270233,1649.9784834410646,1649.7198122407376,981.0,4.36147419011213,0.04242003127696649,0.0005335763286084194,0.01875851516649618,139.5689551886171
18,18,18,18,17.897597789764408,668.135,1030.4921,962.2864,193790.75,1371.0575,1725.7739,1669.3307,3284.0703,24.86,0.199987,64.0,4923.0,0.00024330153586092943,1650.0007133989322,1649.7463145189495,1039.0,4.118060404716073,0.04492784031495778,0.0005698159516977632,0.0330780202217511,38.493071228731424
